City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Datetime
Severo-Kuril'sk,50.68,156.12,27.99,89,100,8.72,RU,1607313816
Praia,14.92,-23.51,75.2,69,75,14.99,CV,1607313603
Narimanov,46.69,47.85,6.8,77,0,8.95,RU,1607313816
Cotonou,6.37,2.42,79.86,85,2,9.73,BJ,1607313816
Grinnell,41.74,-92.72,39.2,97,90,12.75,US,1607313771
Natá,8.33,-80.52,74.3,82,73,3.78,PA,1607313816
Christchurch,-43.53,172.63,82.4,23,34,18.34,NZ,1607313604
Kendrapara,20.5,86.42,73.4,78,0,1.12,IN,1607313817
Peruíbe,-24.32,-47.0,70.59,92,100,12.88,BR,1607313817
Podor,16.65,-14.96,71.6,46,0,2.24,MR,1607313817
Yerbogachën,61.28,108.01,9.03,94,100,10.85,RU,1607313817
Manaus,-3.1,-60.02,78.8,88,20,3.36,BR,1607313817
Blagoyevo,63.37,47.92,32.23,98,100,7.63,RU,1607313818
Laas,46.62,10.7,36.0,92,75,4.7,IT,1607313818
Laguna,38.42,-121.42,48.99,65,1,4.38,US,1607313818
Airai,-8.93,125.41,75.83,71,99,3.2,TL,1607313732
Chui,-33.7,-53.46,54.9,78,2,4.03,UY,1607313818
Port Hardy,50.7,-127.42,48.2,93,90,21.92,CA,1607313818
Kreminna,49.05,38.22,19.0,81,0,17.36,UA,1607313759
Borogontsy,62.67,131.17,-12.03,89,99,6.4,RU,1607313819
Madang,-5.22,145.8,84.58,72,92,6.58,PG,1607313819
Tocache,-8.18,-76.51,70.83,88,100,0.27,PE,1607313819
Lagoa,39.05,-27.98,61.03,68,73,8.66,PT,1607313819
Mīnāb,27.15,57.08,71.6,83,75,2.24,IR,1607313819
Homer,59.64,-151.55,33.01,92,90,3.36,US,1607313820
Ndélé,8.41,20.65,70.75,26,91,4.61,CF,1607313820
Inuvik,68.35,-133.72,-5.8,83,100,3.62,CA,1607313653
Talnakh,69.49,88.4,10.4,85,75,13.42,RU,1607313821
Aykhal,66.0,111.5,-9.4,83,90,6.71,RU,1607313821
Harlingen,26.19,-97.7,51.8,76,1,3.36,US,1607313521
Umba,66.69,34.34,35.73,95,100,10.4,RU,1607313821
Meulaboh,4.14,96.13,84.51,65,100,1.14,ID,1607313821
Esim,4.87,-2.24,78.49,84,0,5.88,GH,1607313822
Puerto Ayacucho,5.66,-67.62,73.45,93,90,2.17,VE,1607313822
Eskil,38.4,33.41,40.05,68,0,8.93,TR,1607313822
Dingle,11.0,122.67,84.76,78,100,6.08,PH,1607313822
Pimentel,-6.84,-79.93,66.45,86,100,11.97,PE,1607313822
Dikson,73.51,80.55,-6.36,93,59,9.71,RU,1607313713
Touros,-5.2,-35.46,77.0,88,40,6.93,BR,1607313823
Grand-Lahou,5.14,-5.02,77.67,87,0,8.55,CI,1607313823
Faya,18.39,42.45,51.8,87,0,4.76,SA,1607313823
Kalmunai,7.42,81.82,81.95,78,6,6.89,LK,1607313823
Hamilton,39.18,-84.53,35.6,69,90,5.82,US,1607313666
Thinadhoo,0.53,72.93,82.71,77,100,14.0,MV,1607313823
Tessalit,20.2,1.01,63.82,37,64,6.82,ML,1607313824
Rawson,-43.3,-65.1,82.26,24,51,22.64,AR,1607313765
Bilibino,68.05,166.44,-0.74,90,54,3.56,RU,1607313824
Roebourne,-20.78,117.13,92.46,49,71,15.08,AU,1607313824
Geraldton,-28.77,114.6,100.4,10,0,14.99,AU,1607313824
Margate,51.38,1.39,35.6,100,90,7.78,GB,1607313824
Enid,36.4,-97.88,39.0,100,1,4.7,US,1607313673
Kahului,20.89,-156.47,82.4,58,40,6.93,US,1607313766
Rawlins,41.79,-107.24,17.6,67,1,4.43,US,1607313825
Staryy Nadym,65.61,72.68,26.13,95,47,24.11,RU,1607313825
Kawalu,-7.38,108.21,78.1,80,99,1.39,ID,1607313825
Nara,34.69,135.8,64.0,44,40,2.24,JP,1607313661
General Pico,-35.66,-63.76,63.36,30,82,11.18,AR,1607313825
Tres Arroyos,-38.37,-60.28,64.36,31,0,14.0,AR,1607313826
Andenes,69.31,16.12,33.01,92,10,4.7,NO,1607313826
Genhe,50.78,121.52,1.98,87,83,5.66,CN,1607313826
Florianópolis,-27.61,-48.5,66.2,93,90,3.36,BR,1607313558
Zhangaözen,43.3,52.8,17.2,95,0,13.89,KZ,1607313826
Mount Darwin,-16.77,31.58,68.2,93,99,7.99,ZW,1607313826
Fengzhen,40.44,113.15,10.67,77,0,5.17,CN,1607313826
Ende,-8.84,121.66,87.93,60,86,1.23,ID,1607313827
Beringovskiy,63.05,179.32,17.26,94,60,4.54,RU,1607313827
Vostok,46.49,135.88,11.53,93,100,7.23,RU,1607313687
Bakau,13.48,-16.68,69.8,83,0,2.24,GM,1607313827
Batagay-Alyta,67.8,130.41,-33.39,76,3,0.78,RU,1607313827
Panama City,8.99,-79.52,78.8,94,20,5.82,PA,1607313828
Pacifica,37.61,-122.49,55.0,71,20,9.17,US,1607313828
Sydney Mines,46.24,-60.22,41.0,86,75,11.41,CA,1607313828
Kozhva,65.11,57.05,31.93,99,100,8.19,RU,1607313828
Mahibadhoo,3.78,72.97,82.24,78,91,10.25,MV,1607313828
Raja,8.46,25.68,64.94,27,79,3.4,SS,1607313828
Kavieng,-2.57,150.8,85.51,67,11,11.56,PG,1607313717
Puerto Cabezas,14.04,-83.39,76.51,91,3,6.06,NI,1607313829
Saucillo,28.02,-105.28,40.64,66,0,1.32,MX,1607313829
Labuhan,-6.88,112.21,81.43,83,100,19.48,ID,1607313829
Srednekolymsk,67.45,153.68,-21.37,86,100,2.39,RU,1607313829
Ketchikan,55.34,-131.65,46.4,93,75,13.87,US,1607313829
Serenje,-13.23,30.24,63.73,92,100,2.57,ZM,1607313829
Adrar,20.5,-10.07,55.83,53,100,7.74,MR,1607313830
San Cristobal,7.77,-72.22,64.38,90,92,2.24,VE,1607313702
Nabire,-3.37,135.48,83.89,79,70,5.1,ID,1607313830
Loudi,27.73,111.99,50.41,67,79,7.58,CN,1607313830
Kamaishi,39.27,141.88,46.4,61,75,3.36,JP,1607313830
Antalaha,-14.9,50.28,78.62,68,58,6.04,MG,1607313830
Baruun-Urt,46.68,113.28,0.34,84,0,14.47,MN,1607313742
Richards Bay,-28.78,32.04,71.65,90,56,6.29,ZA,1607313726
Åkersberga,59.48,18.3,44.01,93,100,1.99,SE,1607313831
Okhotsk,59.38,143.3,-9.53,84,0,14.18,RU,1607313831
Whitehorse,60.72,-135.05,28.4,92,20,14.99,CA,1607313666
Westport,41.14,-73.36,33.01,88,1,5.82,US,1607313547
Tam Ky,15.57,108.48,73.4,88,90,1.12,VN,1607313831
Sijunjung,-0.69,100.95,88.11,54,100,1.68,ID,1607313832
Alice Springs,-23.7,133.88,84.99,25,75,10.29,AU,1607313705
Angoche,-16.23,39.91,80.28,74,100,3.22,MZ,1607313832
Hays,30.05,-98.03,48.99,67,0,8.75,US,1607313688
Xining,36.62,101.77,22.87,79,20,2.84,CN,1607313832
Paraty,-23.22,-44.71,73.31,87,100,6.06,BR,1607313638
Belaya Gora,68.53,146.42,-23.35,87,100,1.12,RU,1607313832
Seymchan,62.88,152.43,-11.65,88,100,0.81,RU,1607313833
Osogbo,7.77,4.57,70.47,97,79,2.17,NG,1607313833
Esperance,-33.87,121.9,66.2,52,24,14.99,AU,1607313833
Nizhnyaya Tavda,57.67,66.17,14.0,96,72,5.97,RU,1607313833
Cherskiy,68.75,161.3,-1.05,93,100,1.16,RU,1607313702
Shache,38.42,77.24,28.17,88,100,6.04,CN,1607313833
Macrohon,10.08,124.94,83.16,74,75,3.94,PH,1607313834
Kiunga,-6.12,141.29,93.51,51,84,2.73,PG,1607313834
Iskateley,67.68,53.15,29.71,96,99,15.52,RU,1607313834
Lima,-12.04,-77.03,66.2,82,75,8.05,PE,1607313631
Buinsk,54.95,48.28,-4.0,76,2,2.24,RU,1607313834
Tuatapere,-46.13,167.68,67.1,41,4,8.93,NZ,1607313706
Naryan-Mar,67.67,53.09,29.75,96,99,15.52,RU,1607313633
Porto-Novo,6.5,2.6,77.99,88,1,5.84,BJ,1607313835
Chapais,49.78,-74.85,14.0,92,90,11.41,CA,1607313835
Bandarbeyla,9.49,50.81,76.55,72,54,10.31,SO,1607313835
Aklavik,68.22,-135.01,-5.8,83,100,1.7,CA,1607313835
Ondangwa,-17.92,15.95,72.12,30,0,10.04,NA,1607313836
Thompson,55.74,-97.86,21.2,92,90,5.82,CA,1607313562
Assiut,27.18,31.18,51.8,53,0,6.93,EG,1607313836
Taoudenni,22.68,-3.98,55.08,45,0,4.5,ML,1607313836
Skibotn,69.39,20.27,23.0,92,0,4.7,NO,1607313836
Trincomalee,8.57,81.23,80.26,81,1,3.13,LK,1607313836
Oskarshamn,57.26,16.45,43.0,92,100,8.01,SE,1607313837
College,64.86,-147.8,8.6,71,90,5.82,US,1607313837
Santa Vitória do Palmar,-33.52,-53.37,56.68,75,1,4.41,BR,1607313837
Bako,5.78,36.57,63.99,76,4,3.44,ET,1607313837
San Carlos,9.66,-68.58,73.63,87,87,2.55,VE,1607313837
Taixing,32.17,120.01,51.01,88,100,1.01,CN,1607313815
Arrondissement de Dole,47.08,5.5,37.4,93,90,8.05,FR,1607313837
Anadyr,64.75,177.48,17.6,78,20,11.18,RU,1607313838
Celestún,20.87,-90.4,75.88,88,0,6.98,MX,1607313838
Krasnyy Luch,48.14,38.94,15.62,87,0,19.35,UA,1607313838
Alofi,-19.06,-169.92,86.0,70,75,17.22,NU,1607313727
Igarka,67.47,86.58,8.83,95,100,9.44,RU,1607313838
Toguchin,55.24,84.39,3.07,93,99,11.86,RU,1607313839
Butembo,0.15,29.28,56.23,92,11,2.86,CD,1607313839
Maragogi,-9.01,-35.22,75.04,80,31,6.87,BR,1607313675
Troitskoye,52.98,84.68,5.2,93,81,4.72,RU,1607313839
Ahipara,-35.17,173.17,71.17,74,75,13.65,NZ,1607313839
Almaznyy,48.04,40.05,14.0,78,0,20.13,RU,1607313839
Arrondissement du Havre,49.58,0.33,35.6,88,90,4.7,FR,1607313840
Vilhena,-12.74,-60.15,67.37,96,100,5.75,BR,1607313840
Alexandria,31.22,29.96,59.0,67,0,5.82,EG,1607313840
Chunār,25.13,82.9,66.2,72,0,2.24,IN,1607313840
Padang,-0.95,100.35,85.8,59,100,4.52,ID,1607313736
Ormara,25.21,64.64,76.82,67,0,4.21,PK,1607313840
Cairns,-16.92,145.77,91.99,52,79,11.41,AU,1607313841
Tovuz,40.99,45.63,35.6,93,75,9.17,AZ,1607313841
Pakhtakoron,40.16,68.75,25.84,89,94,6.91,TJ,1607313841
Boat of Garten,57.25,-3.76,37.4,93,81,2.24,GB,1607313841
Mozarlândia,-14.74,-50.57,72.61,79,92,2.75,BR,1607313841
Yar-Sale,66.83,70.83,30.11,95,77,23.98,RU,1607313841
Newport,51.59,-3.0,39.99,95,94,3.0,GB,1607313842
Atakent,40.85,68.51,22.98,85,73,6.4,KZ,1607313842
Mildura,-34.2,142.15,66.99,34,90,17.22,AU,1607313842
Sungai Penuh,-2.08,101.38,80.2,55,33,5.41,ID,1607313842
Nānākuli,21.39,-158.15,82.4,58,90,11.41,US,1607313842
Bembèrèkè,10.23,2.66,69.22,36,0,3.6,BJ,1607313842
Flin Flon,54.77,-101.86,23.32,97,3,6.2,CA,1607313606
Acapulco de Juárez,16.86,-99.89,82.4,74,40,4.7,MX,1607313843
Malazgirt,39.14,42.54,21.6,93,4,2.08,TR,1607313843
St. George's,12.06,-61.75,78.8,83,20,6.93,GD,1607313843
Necochea,-38.55,-58.74,61.0,57,0,16.13,AR,1607313843
Port Blair,11.67,92.75,82.69,67,5,14.7,IN,1607313843
Santiago del Estero,-27.8,-64.26,66.22,57,0,7.18,AR,1607313764
Dzheguta,43.97,42.04,25.9,84,0,5.23,RU,1607313844
Pedro Juan Caballero,-22.55,-55.73,63.66,98,34,4.25,PY,1607313844
Vao,-22.67,167.48,77.61,87,16,18.39,NC,1607313844
Jalingo,8.88,11.37,74.01,26,97,1.79,NG,1607313844
Ruy Barbosa,-12.28,-40.49,67.69,93,5,3.22,BR,1607313844
Shimoda,34.67,138.95,59.0,72,20,6.93,JP,1607313844
Huilong,31.81,121.66,54.0,80,100,5.99,CN,1607313845
Azovo,54.7,73.02,3.2,84,75,6.71,RU,1607313845
Kuril'sk,45.23,147.88,38.79,73,97,8.79,RU,1607313845
Novo Aripuanã,-5.12,-60.38,74.08,96,100,2.57,BR,1607313845
Matamoros,25.53,-103.25,51.8,34,5,1.07,MX,1607313845
Quatre Cocos,-20.21,57.76,81.0,83,40,8.05,MU,1607313846
Quryq,43.2,51.65,24.8,93,0,12.95,KZ,1607313846
Asău,46.43,26.4,30.0,14,100,4.85,RO,1607313846
Luganville,-15.53,167.17,86.0,74,40,4.7,VU,1607313846
Loei,17.42,101.5,73.99,60,20,1.12,TH,1607313846
Salalah,17.02,54.09,69.8,83,20,4.7,OM,1607313625
Sola,-13.88,167.55,91.4,66,40,5.82,VU,1607313846
Washington,47.5,-120.5,33.01,90,28,1.03,US,1607313847
Togur,58.36,82.83,12.9,94,100,13.85,RU,1607313847
Northam,51.03,-4.22,37.0,90,53,4.0,GB,1607313847
Aginskoye,51.1,114.53,12.74,84,0,22.77,RU,1607313847
Semey,50.41,80.23,-16.6,75,0,4.47,KZ,1607313847
Malé,4.17,73.51,86.0,79,20,11.41,MV,1607313761
Taltal,-25.4,-70.48,59.45,76,31,0.22,CL,1607313620
Soubre,5.79,-6.61,71.13,98,25,2.53,CI,1607313848
Nouadhibou,20.93,-17.03,64.4,72,71,19.46,MR,1607313848
Olinda,-8.01,-34.86,77.0,73,40,8.05,BR,1607313848
Iquitos,-3.75,-73.25,77.0,94,0,2.24,PE,1607313848
Kibre Mengist,5.88,38.98,57.61,89,17,2.55,ET,1607313848
Ola,59.58,151.28,12.0,93,100,9.73,RU,1607313849
Huicungo,-7.28,-76.8,70.12,94,100,1.68,PE,1607313849
Nioro,13.35,-15.75,70.43,41,6,7.05,GM,1607313849
Bitam,2.08,11.5,67.05,97,79,2.01,GA,1607313849
Kungurtug,50.6,97.52,-0.17,74,6,0.78,RU,1607313849
Puro,12.48,123.38,85.48,74,100,9.37,PH,1607313850
Saint-Pierre,-21.34,55.48,82.4,69,0,3.36,RE,1607313850
Nouakchott,18.09,-15.98,62.6,48,0,10.29,MR,1607313633
Arrondissement de Thiers,45.83,3.5,39.2,69,90,3.36,FR,1607313850
Upington,-28.45,21.26,68.0,56,0,1.43,ZA,1607313850
Aloleng,16.13,119.78,85.14,72,51,8.43,PH,1607313850
Urzhum,57.11,50.0,15.8,92,48,9.42,RU,1607313850
Sur,22.57,59.53,78.12,54,1,6.64,OM,1607313851
Ilulissat,69.22,-51.1,21.2,57,100,20.8,GL,1607313851
Syracuse,37.09,15.28,50.0,87,0,9.17,IT,1607313851
Diffa,13.32,12.61,73.33,25,92,8.43,NE,1607313851
Houma,29.6,-90.72,46.99,93,1,4.7,US,1607313782
Boyolangu,-8.12,111.89,85.48,70,63,6.58,ID,1607313851
Chicama,-7.84,-79.15,68.07,80,90,4.72,PE,1607313852
Ixtapa,20.7,-105.2,72.0,88,90,3.47,MX,1607313852
Taksimo,56.34,114.88,4.39,88,100,0.98,RU,1607313852
Radcliff,37.84,-85.95,35.6,96,1,4.7,US,1607313852
Mehamn,71.04,27.85,28.94,92,94,4.59,NO,1607313852
Roald,62.58,6.13,39.2,80,100,17.22,NO,1607313852
Yeniseysk,58.45,92.17,10.26,93,100,10.02,RU,1607313853
Udachny,66.42,112.4,-9.4,83,90,6.71,RU,1607313689
Vinh,18.67,105.67,66.4,78,96,10.13,VN,1607313853
Lyaskelya,61.77,31.02,33.35,87,100,10.31,RU,1607313853
Aswān,24.09,32.91,58.35,34,1,3.18,EG,1607313853
Dolzhanskaya,46.63,37.8,32.0,25,12,31.0,RU,1607313853
Daru,-9.08,143.21,86.67,65,100,7.31,PG,1607313854
Søgne,58.08,7.82,45.0,93,90,14.99,NO,1607313854
Krasnoyarskiy,51.97,59.9,8.51,90,2,6.51,RU,1607313854
Malakal,9.53,31.66,73.69,21,0,7.16,SS,1607313854
Champerico,14.3,-91.92,66.99,95,67,7.56,GT,1607313854
Novobirilyussy,56.95,90.67,11.03,93,100,13.2,RU,1607313854
Bonavista,48.65,-53.11,45.0,100,100,6.93,CA,1607313855
Show Low,34.25,-110.03,30.2,30,1,6.15,US,1607313855
Meadow Lake,34.8,-106.54,39.2,27,1,6.15,US,1607313855
Minggang,32.46,114.05,46.78,65,81,7.96,CN,1607313855
Derbent,42.07,48.29,38.75,75,92,5.79,RU,1607313855
Nishihara,26.18,127.76,75.2,88,90,12.75,JP,1607313855
Menomonie,44.88,-91.92,32.0,92,90,5.82,US,1607313856
Stephenville,32.22,-98.2,46.99,56,1,4.7,US,1607313635
Mitoc,48.1,27.03,27.0,100,75,14.99,RO,1607313856
Aleksandrovsk-Sakhalinskiy,50.9,142.16,22.48,86,55,11.43,RU,1607313856
El Vigia,8.62,-71.65,75.02,75,96,3.71,VE,1607313856
Skellefteå,64.75,20.95,41.0,93,100,6.93,SE,1607313856
Grand-Bourg,15.88,-61.31,71.6,94,20,3.36,GP,1607313857
Sørland,67.67,12.69,37.81,80,86,9.64,NO,1607313857
Pālkonda,18.6,83.75,78.06,50,0,3.24,IN,1607313857
Malartic,48.13,-78.13,14.0,92,90,11.41,CA,1607313611
Novouzensk,50.46,48.14,5.86,91,0,6.2,RU,1607313632
Lermontovka,47.15,134.34,16.81,90,96,7.85,RU,1607313857
Rafrāf,37.19,10.18,50.0,75,5,12.75,TN,1607313857
Leningradskiy,69.38,178.42,13.14,89,98,1.1,RU,1607313858
Jacareacanga,-6.22,-57.75,73.04,97,99,2.24,BR,1607313858
Mount Gambier,-37.83,140.77,59.0,44,40,20.8,AU,1607313858
Tyukhtet,56.54,89.3,9.82,93,100,15.08,RU,1607313858
Alcains,39.92,-7.46,54.0,86,100,10.47,PT,1607313858
Talavera de la Reina,39.96,-4.83,48.0,63,100,17.09,ES,1607313705
Sioux Lookout,50.1,-91.92,24.8,92,90,2.24,CA,1607313858
San Patricio,28.02,-97.52,55.4,81,1,5.82,US,1607313693
Merauke,-8.47,140.33,87.13,67,66,10.47,ID,1607313859
Dolgoderevenskoye,55.34,61.34,23.0,57,40,11.18,RU,1607313859
Cedar City,37.68,-113.06,37.4,27,1,8.05,US,1607313859
Neuquén,-38.95,-68.06,82.4,28,0,6.93,AR,1607313859
Ponta Delgada,37.73,-25.67,55.4,82,40,4.7,PT,1607313859
Puerto Varas,-41.32,-72.99,50.0,100,75,6.93,CL,1607313860
San Jerónimo,-11.95,-75.28,50.61,77,97,1.83,PE,1607313860
Pareora,-44.49,171.21,75.99,18,17,5.99,NZ,1607313860
Saint-Leu,-21.15,55.28,82.4,69,0,3.36,RE,1607313860
Sukumo,32.93,132.73,63.7,50,8,3.53,JP,1607313770
Honiara,-9.43,159.95,87.8,74,40,10.29,SB,1607313860
Gaogou,34.02,119.19,49.89,51,78,9.95,CN,1607313861
Mittagong,-34.45,150.45,89.01,33,0,8.99,AU,1607313622
Bitung,1.45,125.18,87.8,66,40,10.29,ID,1607313861
Kiryat Gat,31.61,34.76,59.0,100,24,3.0,IL,1607313604
Havelock,34.88,-76.9,46.0,93,1,3.36,US,1607313861
Tiarei,-17.53,-149.33,80.6,74,75,6.93,PF,1607313862
Pisco,-13.7,-76.22,64.4,88,0,13.87,PE,1607313862
Koprivnica,46.16,16.83,44.01,87,100,3.0,HR,1607313862
Poum,-20.23,164.02,80.71,76,49,12.82,NC,1607313862
Gobabis,-22.45,18.97,69.73,61,37,9.15,NA,1607313862
Consuelo,10.63,124.3,86.0,74,75,6.93,PH,1607313862
Mayumba,-3.43,10.66,76.5,91,95,5.93,GA,1607313863
Takhtamygda,54.1,123.57,2.23,86,100,1.95,RU,1607313863
Gimli,50.63,-96.99,21.2,85,68,1.12,CA,1607313863
Norsup,-16.07,167.38,86.0,74,40,4.7,VU,1607313863
Porto Velho,-8.76,-63.9,73.4,94,75,1.12,BR,1607313722
Klaksvík,62.23,-6.59,35.6,80,30,4.7,FO,1607313864
Hay River,60.82,-115.8,15.8,85,100,2.24,CA,1607313606
Boddam,57.47,-1.78,34.0,100,75,1.12,GB,1607313864
Kalyazin,57.24,37.84,17.35,95,1,7.27,RU,1607313864
Shwebo,22.57,95.7,76.86,60,0,3.18,MM,1607313864
Kloulklubed,7.04,134.26,86.0,74,75,6.93,PW,1607313864
Nālūt,30.33,10.85,41.14,62,0,4.03,LY,1607313865
